carpeta,archivo,satt_true,satt_est,bias,mse,ci_95,ci_ancho,cobertura_ic,modelo_elegido,params_rf,params_gp,tiempo_seg
1,zymu_336720434.csv,3.853914673947392,3.8985650431632775,0.0446503692158852,0.0019936554711148,[3.68296629 4.09507454],0.4121082464877474,True,GaussianProcess,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",154.6565170288086
1,zymu_336720431.csv,2.897076434547197,2.753075375654188,-0.1440010588930098,0.020736304962308,[2.56126444 2.92694568],0.3656812389173427,True,GaussianProcess,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",186.6580970287323
1,zymu_336720609.csv,3.716443437669752,3.777031300186089,0.0605878625163378,0.0036708890842986,[3.64836583 3.89606816],0.2477023279029691,True,GaussianProcess,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",159.84931015968323
1,zymu_336720673.csv,3.3567781074675342,3.3413645808231065,-0.0154135266444277,0.0002375768036184,[3.00968138 3.73640624],0.7267248504037078,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",78.99666929244995
1,zymu_336720631.csv,4.455427126170361,4.63661300699753,0.1811858808271695,0.0328283234111172,[4.47330507 4.81031069],0.3370056241875998,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",71.99276494979858
2,zymu_78746923.csv,5.871047389365267,5.907678658290955,0.0366312689256878,0.001341849863106,[5.75707467 6.03853246],0.2814577857522025,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",128.156800031662
2,zymu_78747252.csv,3.54213345857186,3.3164933609900498,-0.2256400975818095,0.0509134536367285,[3.21070141 3.40927423],0.1985728184032549,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",110.5675723552704
2,zymu_78747220.csv,4.015926751990679,3.9300698113409673,-0.0858569406497116,0.0073714142577281,[3.85491441 4.0101071 ],0.1551926825529865,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",145.11362218856812
2,zymu_78747197.csv,2.843909025320798,3.155267999165398,0.3113589738445999,0.0969444105935622,[3.04024141 3.27454931],0.2343079011308968,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",123.5252149105072
2,zymu_78747166.csv,4.881065702807365,5.092142554364744,0.2110768515573795,0.044553437263376,[4.96226758 5.23719724],0.274929665229962,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",112.4874942302704
